Name,Count
series,517
escapades,5
demonstrating,19
adage,17
good,2884
for,10264
goose,34
also,872
gander,9
some,2473
occasionally,282
amuses,10
but,7127
none,259
amounts,62
much,2763
story,3466
this,8206
quiet,198
introspective,23
entertaining,786
independent,64
worth,658
seeking,54
even,2423
fans,559
ismail,6
merchant,33
work,1640
suspect,35
would,1437
have,4335
hard,763
time,2562
sitting,131
through,1522
one,4869
positively,62
thrilling,106
combination,108
ethnography,7
all,4373
intrigue,164
betrayal,40
deceit,14
murder,172
shakespearean,17
tragedy,321
or,4727
juicy,46
soap,260
opera,333
aggressive,20
self-glorification,16
manipulative,135
whitewash,6
comedy-drama,36
nearly,543
epic,258
proportions,37
rooted,21
in,19282
sincere,182
performance,954
by,5572
title,475
character,1353
undergoing,7
midlife,23
crisis,76
narratively,32
trouble,171
every,1232
day,471
plodding,74
mess,305
importance,72
being,1260
earnest,253
so,3666
thick,86
with,10722
wit,441
it,16534
plays,299
like,4454
reading,141
from,4782
bartlett,29
familiar,498
quotations,16
does,2304
n't,5556
leave,386
could,1412
hate,133
same,859
reason,369
there,1776
little,2261
recommend,173
snow,114
dogs,65
unless,81
considers,22
cliched,97
dialogue,774
perverse,80
escapism,97
source,134
high,507
hilarity,44
kung,78
pow,77
oedekerk,43
realization,27
his,5435
childhood,87
dream,175
martial-arts,13
flick,514
proves,219
sometimes,558
dreams,162
youth,56
should,1161
remain,72
just,2534
performances,1231
absolute,58
joy,115
fresnadillo,10
has,4118
something,1577
serious,371
say,625
about,5034
ways,326
extravagant,31
chance,139
can,2473
distort,16
our,928
perspective,165
throw,57
us,1838
off,1225
path,107
sense,1166
still,1068
moonlight,30
mile,108
better,1204
judgment,26
damned,145
welcome,229
relief,55
baseball,42
movies,1751
try,235
too,3067
mythic,38
sweet,546
modest,123
ultimately,606
winning,196
bilingual,5
charmer,48
woman,412
who,3384
inspired,153
less,980
dizzily,8
gorgeous,242
companion,26
mr.,413
wong,3
mood,242
love,1719
--,4666
very,1971
hong,104
kong,112
movie,8135
despite,427
its,9993
mainland,8
setting,165
mr,41
as,11976
inept,91
big-screen,59
remakes,18
avengers,9
wild,213
west,70
everything,436
'd,402
expect,255
nothing,1029
more,5530
best,1571
indie,169
year,719
far,985
hatfield,26
hicks,27
make,2092
oddest,31
couples,23
becomes,356
study,444
gambles,12
publishing,21
world,1328
offering,129
case,261
exists,34
apart,164
political,366
ramifications,14
going,749
house,227
party,178
watching,795
host,36
defend,10
himself,420
against,290
frothing,12
ex-girlfriend,12
chuck,20
norris,6
``,2306
grenade,16
gag,87
'',2298
occurs,23
7,20
times,789
during,275
windtalkers,37
indication,25
how,1386
serious-minded,20
film,9125
plot,1316
romantic,764
comedy,2468
boilerplate,8
start,218
finish,106
arrives,50
impeccable,60
pedigree,67
mongrel,14
pep,14
almost,835
indecipherable,12
complications,79
clearly,132
means,162
preach,5
exclusively,5
converted,18
while,1044
offers,355
opportunities,38
occasional,49
smiles,63
chuckles,61
give,641
theater,574
beyond,353
wilde,101
actors,751
latest,231
vapid,62
actor,426
exercise,335
appropriate,71
structure,108
arthur,18
schnitzler,17
reigen,8
vaudeville,18
show,620
than,4968
well-constructed,15
narrative,527
on,6547
those,1241
terms,172
inoffensive,77
actually,514
rather,912
run-of-the-mill,56
action,1341
hampered,37
no,2565
paralyzed,10
self-indulgent,105
script,947
...,2504
aims,47
poetry,168
ends,335
up,2840
sounding,23
satire,237
ice,118
age,226
first,1101
computer-generated,47
feature,476
cartoon,215
feel,999
other,1525
makes,1500
glacial,16
pacing,171
early,131
here,815
makers,104
serve,55
cliches,291
considerable,188
dash,23
cattaneo,11
followed,53
runaway,10
success,198
full,840
monty,143
different,384
they,1729
're,1184
unnamed,8
easily,312
substitutable,10
forces,94
whatever,120
terror,43
heroes,63
horror,518
avoid,161
feels,691
if,2677
interested,181
itself,833
amusing,445
progression,10
into,3020
rambling,44
incoherence,38
gives,508
new,1739
meaning,163
phrase,34
fatal,117
error,18
do,1892
judge,21
soon,110
dark,574
gritty,100
takes,667
totally,111
unexpected,199
directions,31
keeps,235
young,807
romantics,6
out,3107
date,198
tartakovsky,8
team,121
freakish,10
powers,108
visual,561
charm,497
five,177
writers,84
slip,60
modern,439
rut,28
banality,39
vincent,95
gallo,18
right,836
at,4934
home,402
french,397
shocker,16
playing,212
usual,277
bad,1713
boy,311
weirdo,17
role,388
primary,38
goal,72
frighten,31
disturb,13
then,556
works,572
spectacularly,29
well,1335
shiver-inducing,10
nerve-rattling,9
ride,333
100-minute,15
only,2002
25,18
minutes,1081
decent,267
material,762
fortunately,6
option,29
sensational,60
true-crime,7
hell-jaunt,7
purists,13
might,977
experimental,41
storytelling,303
-lrb-,2853
though,694
horrifying,96
-rrb-,3348
tricky,17
satisfying,326
any,1913
david,228
mamet,55
airless,13
cinematic,616
shell,11
games,167
'm,288
sure,331
filmmaker,409
disagree,11
honestly,72
see,1397
point,643
jones,124
tackled,7
meaty,18
subject,666
drawn,84
engaging,414
characters,2675
peppering,12
pages,27
memorable,286
zingers,14
bloody,73
sunday,14
grace,192
call,230
prevention,13
place,559
blame,46
making,585
war,636
ever,1011
made,1357
clunky,51
tv-movie,18
approach,279
detailing,17
chapter,21
life,2077
celebrated,41
irish,106
playwright,26
poet,25
drinker,15
finally,215
coming,211
down,899
miramax,44
deep,241
shelves,12
after,686
couple,210
aborted,12
attempts,175
waking,38
reno,103
strong,427
letting,65
sleeping,29
lie,75
thanks,163
largely,135
williams,167
interesting,962
developments,26
processed,22
60,20
rest,169
overexposed,24
waste,192
comes,647
across,201
relic,21
bygone,30
era,188
convolutions,16
silly,549
plausible,17
perhaps,195
cliche,96
refreshing,146
both,1094
lead,279
oscar-size,4
run,260
your,2297
lives,487
mark,173
pellington,12
pop,229
thriller,854
kooky,19
overeager,7
spooky,100
subtly,84
myth,27
claude,20
chabrol,55
camera,348
way,2251
gently,49
swaying,9
back,803
forth,66
cradles,13
veiling,13
tension,228
beneath,105
otherwise,302
tender,117
movements,63
transforms,39
shakespeare,66
deepest,39
tragedies,72
smart,418
screenplay,450
james,167
eric,59
horton,8
director,1594
peter,147
o'fallon,24
pat,94
teeth,45
hurt,44
arriving,12
particularly,305
moment,261
history,669
flickering,18
reminders,10
ties,60
bind,15
generic,171
villains,45
lack,409
their,2591
funny,1978
accents,62
scenes,770
poorly,123
delivered,97
deeply,339
thought,299
most,3128
right-thinking,18
films,1422
gratuitous,54
distractions,9
impressed,39
upon,171
fun,1139
downright,111
transparent,23
endless,91
assault,25
embarrassingly,9
ham-fisted,34
sex,291
jokes,374
reek,7
rewrite,7
designed,111
garner,10
cooler,14
pg-13,31
rating,67
provocative,190
drama,1139
impossible,340
gets,630
under,486
skin,203
man,1030
know,651
evil,178
monstrous,40
lunatic,44
drive-by,6
many,1435
things,855
stoner,12
midnight,70
sci-fi,260
deconstruction,11
gay,190
